symbol
AEFES
AGESA
AKBNK
AKCNS
AKFGY
AKSA
AKSEN
AKSGY
ALARK
ALBRK
ALCAR
ALCTL
ALFAS
ALGYO
ALKIM
ALKLC
ALMAD
ALTINS
ALTINY
ALYAG
ANACM
ARASE
ARCLK
ARDYZ
ARENA
ARSAN
ASELS
ASGYO
ASTOR
ATAGY
ATAKP
ATATP
AVGYO
AVHOL
AVOD
AYCES
AYEN
BAGFS
BAKAB
BALAT
BANVT
BASGZ
BATRA
BAYRK
BERA
BIOEN
BIMAS
BIZIM
BJKAS
BLCYT
BMSCH
BMSTL
BNTAS
BORLS
BORSK
BRISA
BRKSN
BRKVY
BRYAT
BSOKE
BSTYL
BUCIM
BURCE
BURVA
BVSAN
BYGYO
CANTE
CCOLA
CELHA
CEMAS
CEMTS
CEOEM
CIMSA
CLEBI
CLKHO
CMBTN
CMENT
CONSE
COSMO
CRFSA
CUSAN
CVKMD
DAGHL
DAGI
DAPGM
DARDL
DENGE
DERHL
DERIM
DESA
DEVA
DGGYO
DITAS
DMSAS
DNISI
DOAS
DOHOL
DOKTA
DURDO
DYOBY
ECILC
EGEEN
EGGUB
EGPRO
EGSER
EKGYO
EKSUN
ELITE
EMKEL
EMNIS
ENERY
ENKAI
ENSRI
EPLAS
ERBOS
ERCB
ERDEM
EREGL
ERSU
ESCAR
ESCOM
ESEN
ETGRI
ETYAT
EUHOL
EUKYO
EUPWR
EUREN
FADCO
FENER
FMIZP
FONET
FORMT
FROTO
FRTKL
FZLGY
GARAN
GARFA
GENTS
GEREL
GESAN
GLBMD
GLCVY
GLYHO
GMTAS
GOKNR
GOLTS
GOZDE
GRSEL
GRTHO
GSRAY
GUBRF
GUNDG
GUNSEL
GUSGR
HALKB
HATEK
HDFGS
HEDEF
HEKTS
HLGYO
HOROZ
HUNER
HURGZ
ICBCT
IDGYO
IEYHO
IHEVA
IHGZT
IHLAS
IHLGM
IHYAY
IMASM
INDES
INFARM
INGRM
INTEM
INVEO
ISGSY
ISCTR
ISFIN
ISGYO
ISKUR
ISMEN
ISYAT
ITTFH
IZFAS
JANTS
KAYSE
KBORU
KCAER
KCHOL
KENT
KERVT
KGYO
KLNMA
KLSER
KLSYN
KMPUR
KNFRT
KOCMT
KONYA
KOPOL
KORDS
KOZAA
KOZAL
KRDMA
KRDMB
KRDMD
KRGYO
KRPLAS
KRSTL
KRTEK
KRVGD
KSTUR
KTLEV
KUYAS
LARGR
LIDER
LKMNH
LOGO
LRSHO
LUKSK
MAGEN
MAKIM
MAKTK
MANAS
MARTI
MAVIS
MAVI
MEDTR
MEGAP
MEPET
MERCN
MERIT
MERKO
METRO
MGROS
MIATK
MIGROS
MIPAZ
MKTES
MMCAS
MOBTL
MPARK
MRDIN
MRGYO
MTRKS
MTSAS
NATEN
NETAS
NIBAS
NTHOL
NTTUR
NUGYO
NUROL
ODAS
OFSYM
ONCSM
ORDOS
ORGE
OSAS
OTKAR
OYAKC
OYLUM
OZGYO
OZKGY
PAGYO
PARSN
PCILT
PEHOL
PENGD
PETKM
PGSUS
PIMAS
PINSU
PKART
PKENT
POLHO
POLMK
PRKAB
PRKME
PRZMA
PTOFS
QUAGR
RALYH
RAYSG
REEDR
RHEAG
RODRG
ROYAL
RTALB
RUBNS
RYGYO
SAFKR
SAHOL
SAMAT
SANEL
SANFM
SANKO
SASA
SAYAS
SDTTR
SEKFK
SELEC
SELGD
SELVA
SEYKM
SILVR
SISE
SKBNK
SKTAS
SMART
SNGYO
SNKRN
SOKM
SONME
SPEEK
SRVGY
SUMAS
SUWEN
SZMRT
TATGD
TAVHL
TCELL
TEKTU
TETMT
TGSAS
THYAO
TIRE
TKFEN
TKNSA
TMSN
TOASO
TOFAS
TRGYO
TRILC
TSGYO
TSKB
TTRAK
TTKOM
TUCLK
TUPRS
TUKAS
TMSN
ULKER
ULUUN
ULUSE
UMREK
UNLU
USAK
UZERB
VAKBN
VAKFN
VAKKO
VANGD
VBTYZ
VERUS
VESTL
VKGYO
VKING
YKBNK
YATAS
YGYO
YIGIT
YUNSA
ZOREN
ZRGYO
